Symbol,Name,Mean,Stdev,DRH,DLR,DHC,DEI,DRE,DX,DEA,EGP,EFC,EARN,ESRT,EPR,EQIX,EQC,ELS,EQR,EPRT,ESS,XAN,EXR,FPI,FRT,FR,FCPT,FSP,GLPI,GEO,GTY,GOOD,LAND,GMRE,GNL,SELF,GPMT,AJX,HASI,HR,HTA,PEAK,HT,HIW,HMG,HST,HPP
DRH,DiamondRock Hospitality Company,-4.3348688453951435e-4,0.09437497656549317,1,0.24316026292070844,0.808374895452726,0.8234877397060424,0.608744355761365,0.5493485074968161,0.44770314626926094,0.7138625792049557,0.5627589144313662,0.6101486797014383,0.7917753578186645,0.8764130405118244,0.2970955506333471,0.5112356377304437,0.6185008984616154,0.7085628119675071,0.769241470618497,0.6919302945764332,0.5771914265223906,0.6238776237405433,0.39344936443724143,0.8037807199749638,0.7110915981636756,0.7575829279624614,0.7644520597984984,0.7725128207142543,0.5783769330847386,0.8194381601167081,0.795425110369015,0.6398262169277124,0.6751246719196442,0.7888788806959706,0.4250545572140748,0.6604345990084802,0.6950885270708159,0.6611089990125903,0.5872293395654408,0.6153524150264976,0.7366268506289156,0.8873671535142821,0.8340836900560467,0.06943910980873443,0.8356028533351716,0.8499788515873052
DLR,"Digital Realty Trust, Inc.",0.0034109761986486817,0.042270048193777054,0.24316026292070844,1,0.2991116573314611,0.5024658485850642,0.645017347028708,0.037137862920706914,0.4314533766417396,0.537255369692622,0.2508964003509815,0.30971499336382313,0.31081521630550113,0.21083619338563758,0.8104770454643715,0.39500932938318334,0.605226130814599,0.5320107178711022,0.27206134750968985,0.5278824529652533,0.24126870368961387,0.5271526486108542,0.24830376820781608,0.3919740548827571,0.5851895587635929,0.46913957530923295,0.26217746465112374,0.3996812524892703,0.292451246885969,0.39923638881873663,0.43404288980826583,0.23937281744413166,0.27697398955004837,0.32293430610490725,0.2947783411623756,0.3108208894439126,0.27789437599003997,0.33975550360741763,0.507117859811026,0.5219700185948247,0.5153339956347472,0.21376248191862762,0.48127788761908996,-0.16616156103322682,0.2282417622875521,0.44136588434670454
DHC,Diversified Healthcare Trust,-0.009159922828987086,0.1385959896581455,0.808374895452726,0.2991116573314611,1,0.8015509832606507,0.6802742439403585,0.6362399599558773,0.48692440457996644,0.7722545089066948,0.6579694456134194,0.6826804119505515,0.758967356534854,0.8019615156877238,0.30402676624452785,0.4556261687319743,0.6551453853929644,0.7425241215918491,0.837852210243204,0.7243919428668917,0.6650319678177573,0.6758793075523933,0.43324434211541574,0.8149059743376718,0.7435957464623991,0.8152964881755961,0.8077594619258739,0.7264091659262102,0.6265796739810264,0.8044701395725194,0.770586333656728,0.6250997876941402,0.7383312849483217,0.8459456587355035,0.34062721353277303,0.7423463728485272,0.7455251511225772,0.6717859370169303,0.7083367389558188,0.6901516254906758,0.8304203144548202,0.8583080353033874,0.8350052750320822,-0.036098715172502585,0.7757688330890653,0.8253267652018813
DEI,"Douglas Emmett, Inc",-6.738592850654394e-4,0.05993678527295331,0.8234877397060424,0.5024658485850642,0.8015509832606507,1,0.8087131229640311,0.4965679075724964,0.5436873425885143,0.8325381298462534,0.6471351617882937,0.6882929399614379,0.8142665724098382,0.8109368699743753,0.5391330229172191,0.5832319286698447,0.8108911313721991,0.8926601033742328,0.764361524115462,0.8828064969633627,0.6629540678860877,0.7587763997850818,0.4537038425833395,0.8692522115799708,0.8599345160027467,0.8619240670917852,0.7811561358520627,0.8120449730434243,0.5523725777238934,0.8509959748630671,0.8262392128843554,0.5919423556834496,0.7024353783981077,0.8040764097462105,0.44892099606179486,0.7552804169263811,0.7477238174969223,0.6773123579456414,0.7913714903043685,0.8110466401678701,0.8673637607013981,0.8102612923840871,0.9202393143980038,-0.06038577992241844,0.7411229757369601,0.9458445461706513
DRE,Duke Realty Corporation,0.004866896833839983,0.04524174043548262,0.608744355761365,0.645017347028708,0.6802742439403585,0.8087131229640311,1,0.5484734519481154,0.6221556587705886,0.9029864944961982,0.636234311408938,0.6998684350463391,0.5746246841438677,0.6265285361743864,0.7321423895771109,0.6010221025461003,0.8769552500659807,0.8031150836052784,0.6685449504861333,0.8387123509448118,0.5547522817323964,0.7377770331118555,0.30421010797314973,0.6565152384890172,0.9266386822392274,0.8171713210460219,0.6799318371044663,0.7769678120819399,0.5086810317274452,0.8105875680477174,0.7482909812118328,0.5064503854352818,0.7324272929432917,0.7498086515441701,0.4520806559125169,0.6719523639500711,0.6476359307709756,0.725602059088448,0.8273288941821445,0.8356101886157048,0.842944001130153,0.6670388786746697,0.8002980617669387,-0.10024408386748306,0.6010038719025412,0.7654987410481251
DX,"Dynex Capital, Inc.",0.002007789512245398,0.06867258077905486,0.5493485074968161,0.037137862920706914,0.6362399599558773,0.4965679075724964,0.5484734519481154,1,0.41338177090984957,0.6177040874369191,0.7913646333854786,0.7644368514886027,0.48642881887121403,0.5555338765174791,0.12954362941403122,0.2463943037292276,0.5134442463897283,0.5353116891557221,0.6721250276382579,0.5486778747671959,0.6868993778506336,0.32717581564051734,0.374300574693852,0.5688394366676278,0.5766152007435068,0.6347415289051758,0.6482047199756916,0.5116239059916377,0.6332344559671426,0.6543830870246813,0.5150063804676794,0.5609301891951133,0.7545526405321318,0.7682084177334512,0.26518480142779866,0.6300406954661372,0.7078406310310508,0.7179201972392492,0.5608236896495614,0.525983257018143,0.6413072185859144,0.7016010798291955,0.5822164137953774,0.07885935926155908,0.6990930507867162,0.4795787518827796
DEA,"Easterly Government Properties, Inc.",0.0043002078747991545,0.03295794260663918,0.44770314626926094,0.4314533766417396,0.48692440457996644,0.5436873425885143,0.6221556587705886,0.41338177090984957,1,0.6441141231204597,0.3975609857708075,0.3966086579922029,0.4643724176750809,0.3669277421975337,0.4458848748603048,0.5222106770770406,0.534792690548159,0.48819313055584507,0.41166716379361434,0.43005765982543726,0.3047281165943732,0.548822151491715,0.3969575615317833,0.42153459621861583,0.629910552922564,0.46240607939369766,0.6028098734680271,0.4171523847778949,0.5444627068218731,0.4722988096180207,0.3751827883257453,0.6257960910575623,0.5770354140974623,0.5585759448212352,0.24026929168182126,0.19534080507835114,0.31336043795111923,0.49124150672309225,0.5784992610329988,0.5587290362234927,0.5582819205335279,0.403129992294526,0.5415723716560714,-9.041033359469056e-4,0.4716564682672926,0.47898891838021745
EGP,"EastGroup Properties, Inc.",0.0045323018472363,0.05124751331406475,0.7138625792049557,0.537255369692622,0.7722545089066948,0.8325381298462534,0.9029864944961982,0.6177040874369191,0.6441141231204597,1,0.7025889581739493,0.7595175714714868,0.6444642717530551,0.7225939549353751,0.629323923855708,0.5851282785607372,0.8677047058261164,0.8060489339468979,0.76565911718523,0.8389563688602937,0.6253435247327683,0.7962400985463178,0.3551825525695393,0.7494013077843575,0.9349662149428993,0.863513129685303,0.7637333265371419,0.837646972059276,0.5770476242106907,0.8452028456176641,0.7916905451895453,0.6296273673929712,0.7990202961122784,0.8057946269016555,0.47396762458685543,0.7136487586644528,0.7270270187644041,0.8038461427411805,0.8567104889238629,0.866895209820644,0.8506956536399239,0.750628839337007,0.8572828261852516,0.026163599000224705,0.646281563495884,0.8111146509605694
EFC,Ellington Financial Inc.,0.001577177437198179,0.13541262071294055,0.5627589144313662,0.2508964003509815,0.6579694456134194,0.6471351617882937,0.636234311408938,0.7913646333854786,0.3975609857708075,0.7025889581739493,1,0.9455692427363758,0.5142079245615117,0.6281834836167804,0.3339624908777159,0.15652540162481587,0.6865734769193417,0.7177566861623398,0.7148602994475942,0.7526495428264491,0.929520548004657,0.4129779352330861,0.32281168611051386,0.7257236721180459,0.6622326558787814,0.8125468228718367,0.58444102524317465,0.6763954900515978,0.5320210847965767,0.6926702858597203,0.6102147810535354,0.46147847063575825,0.7407588083162899,0.736435859373663,0.42299461105077224,0.8414356800351243,0.8868782184620184,0.7672825266069849,0.7758135533664071,0.7222146565362199,0.7888951241076918,0.7449265206870915,0.6845015850074074,0.04628145510111684,0.6559565135620135,0.5860921891689063
EARN,Ellington Residential Mortgage REIT,0.004084565811979211,0.10836240605403358,0.6101486797014383,0.30971499336382313,0.6826804119505515,0.6882929399614379,0.6998684350463391,0.7644368514886027,0.3966086579922029,0.7595175714714868,0.9455692427363758,1,0.5223474900553368,0.6932455006442476,0.433391257078222,0.2520382578530219,0.7616479679910462,0.7360843118975202,0.7344762989557021,0.7872579831587397,0.8670903863347769,0.4978078329237891,0.2792110650710427,0.7342068218999165,0.7336805910955577,0.8713892597323335,0.6462245941307698,0.7738865373137103,0.5147730579480246,0.7666088016420284,0.7385952090126592,0.4923404741977823,0.7324047074250086,0.7662942010746309,0.5030165398611441,0.8773158579965958,0.8959156126637545,0.8056324215111973,0.8061417757006725,0.7797127372123871,0.8187909533338439,0.7913495483395112,0.7469882549080614,-0.011701192145953632,0.6415187381848529,0.6707074894193789
ESRT,"Empire State Realty Trust, Inc. Class A",-0.0035547126347635787,0.06975054119848574,0.7917753578186645,0.31081521630550113,0.758967356534854,0.8142665724098382,0.5746246841438677,0.48642881887121403,0.4643724176750809,0.6444642717530551,0.5142079245615117,0.5223474900553368,1,0.7173995802515157,0.2920865780339204,0.4664817034889592,0.5829780098745374,0.773093462777475,0.7279768584574476,0.6959377213291649,0.5780784053710214,0.5658717228364486,0.4761589633096057,0.8318725518002561,0.6638405253546424,0.6870796132613927,0.6780229567402007,0.6115653244858714,0.585504097880385,0.6924858604120172,0.6454411950846125,0.5164817839443516,0.6098914863480286,0.7442924954824468,0.26554197748903,0.6040235524146628,0.6312939481858506,0.5749639456814979,0.6187358851293432,0.6130714502412418,0.6934803699123984,0.7481746624158538,0.8255651247790092,-0.04029578197516186,0.766218156533467,0.8191112087564536
EPR,EPR Properties,-0.005669486491572341,0.11498323114814331,0.8764130405118244,0.21083619338563758,0.8019615156877238,0.8109368699743753,0.6265285361743864,0.5555338765174791,0.3669277421975337,0.7225939549353751,0.6281834836167804,0.6932455006442476,0.7173995802515157,1,0.3381631430245189,0.44028054965157487,0.7106675723256911,0.7096904170094374,0.8132914917796922,0.7416069035805308,0.6261017223379253,0.6364892089376202,0.320792533098737,0.8032702160664641,0.7281064784985087,0.8237139549516181,0.7292745875861664,0.8435229652476622,0.5103129129764078,0.8492484400558398,0.8424766388805278,0.6084438399998199,0.6816391716729752,0.80541751967742,0.4740357732226219,0.759731979262675,0.7679731053763211,0.7250566944637007,0.686034387086485,0.726084909806337,0.7917473521567362,0.8965268775056908,0.8369578974834743,-0.04693549863381745,0.6933227187536005,0.849567904529293
EQIX,"Equinix, Inc.",0.007089517399604403,0.043066086055995455,0.2970955506333471,0.8104770454643715,0.30402676624452785,0.5391330229172191,0.7321423895771109,0.12954362941403122,0.4458848748603048,0.629323923855708,0.3339624908777159,0.433391257078222,0.2920865780339204,0.3381631430245189,1,0.43264518453290907,0.7435611403985696,0.5875511420749319,0.3427279531308946,0.5995919506966343,0.2744322442058612,0.6035656116339058,0.1519690472087543,0.3898950069278805,0.6888284744271806,0.5444713339426877,0.2792332424279509,0.5802379074375971,0.3129135094270639,0.49028798278278096,0.5563419099521226,0.30369007929009045,0.38114859173692395,0.3766594130852251,0.3872382692327892,0.394776927585103,0.36946913902310635,0.5148762212813388,0.6279458918781401,0.647298082450474,0.5699496887910755,0.33296329315625517,0.5456612388639123,-0.17757321184706162,0.21526527819142546,0.5241233503669227
EQC,Equity Commonwealth,0.0015035047313226297,0.02118106824720828,0.5112356377304437,0.39500932938318334,0.4556261687319743,0.5832319286698447,0.6010221025461003,0.2463943037292276,0.5222106770770406,0.5851282785607372,0.15652540162481587,0.2520382578530219,0.4664817034889592,0.44028054965157487,0.43264518453290907,1,0.5286023281232026,0.534198386572215,0.350719040266257,0.525118250467591,0.09732230917230976,0.58087093108117,0.23816833766583864,0.3647827471702339,0.6309571976908394,0.43895032419849755,0.5636383129140162,0.4164221947964625,0.3674925642632091,0.5373085534793736,0.5213465295250711,0.45461042889515857,0.4144776907041215,0.43080031962927895,0.24391552375344103,0.21388087455659932,0.2433016208092873,0.34951290027179105,0.4224039965520254,0.472723792394239,0.4811205738942641,0.38531455520879637,0.5650674582877911,0.09927663602928564,0.43312992962401464,0.5785857379954387
ELS,"Equity LifeStyle Properties, Inc.",0.0031469226994140912,0.050776716881011624,0.6185008984616154,0.605226130814599,0.6551453853929644,0.8108911313721991,0.8769552500659807,0.5134442463897283,0.534792690548159,0.8677047058261164,0.6865734769193417,0.7616479679910462,0.5829780098745374,0.7106675723256911,0.7435611403985696,0.5286023281232026,1,0.8279931986892857,0.7201181940372005,0.8695402136752708,0.6438011857210456,0.749503722544775,0.307596752513274,0.7342221535348757,0.8796874156438412,0.8871613633963844,0.6386221529113343,0.865058873477222,0.5114414822629242,0.8332742539859654,0.8225871002979834,0.5234862251289677,0.7117114985141554,0.7351503986590626,0.5172656470750323,0.7516455035423658,0.7634696097372763,0.7866890203519329,0.8955999748806642,0.910014716930508,0.8685303260913498,0.7022763176717395,0.8383520364239951,-0.09778030754274142,0.5050543456428316,0.7797926817376282
EQR,Equity Residential,-1.4072918891281752e-4,0.05752678413765408,0.7085628119675071,0.5320107178711022,0.7425241215918491,0.8926601033742328,0.8031150836052784,0.5353116891557221,0.48819313055584507,0.8060489339468979,0.7177566861623398,0.7360843118975202,0.773093462777475,0.7096904170094374,0.5875511420749319,0.534198386572215,0.8279931986892857,1,0.7472639823430589,0.9487275283371297,0.7459682204670803,0.6859539843320434,0.36255213336207603,0.8481990512786534,0.809824728215864,0.8367701804053881,0.6763540046727059,0.7464381696611799,0.5504683413834063,0.785181665408761,0.7426848687843324,0.45158214328415686,0.7179033844499533,0.7719362374127211,0.42153471466404485,0.7775390253910667,0.7928361164754202,0.7002351257193665,0.8444788006753564,0.8097162704256741,0.8805873355220523,0.7688635990723564,0.8871353236149544,-0.04407645342566274,0.7350439668585492,0.8520532997363801
EPRT,"Essential Properties Realty Trust, Inc.",0.004939636138927018,0.08609850823159074,0.769241470618497,0.27206134750968985,0.837852210243204,0.764361524115462,0.6685449504861333,0.6721250276382579,0.41166716379361434,0.76565911718523,0.7148602994475942,0.7344762989557021,0.7279768584574476,0.8132914917796922,0.3427279531308946,0.350719040266257,0.7201181940372005,0.7472639823430589,1,0.7350284983846873,0.748057836629156,0.6350967521032044,0.3404610157913962,0.8502713400399714,0.7200605168526468,0.8587126336620924,0.7156721173549724,0.7945714684968466,0.5655585037438056,0.8217817529109877,0.7957149313492567,0.535113452393684,0.7545147504277012,0.878589717469784,0.4261612901347033,0.8252097855754655,0.8205781088581612,0.6906565026023939,0.7440201487110332,0.7448735684185258,0.8308469542281166,0.8441910984393827,0.8212545059756254,-0.07437053261961683,0.7192965078052382,0.7770171700519598
ESS,"Essex Property Trust, Inc.",5.720009099108073e-4,0.05981325215913022,0.6919302945764332,0.5278824529652533,0.7243919428668917,0.8828064969633627,0.8387123509448118,0.5486778747671959,0.43005765982543726,0.8389563688602937,0.7526495428264491,0.7872579831587397,0.6959377213291649,0.7416069035805308,0.5995919506966343,0.525118250467591,0.8695402136752708,0.9487275283371297,0.7350284983846873,1,0.7541799067968307,0.6737778725640968,0.32100389792667616,0.8206105776347065,0.8318465527104757,0.8759153976714512,0.6853956084695204,0.8109900929351985,0.5152738848027287,0.8171524921712165,0.7787458959891694,0.4352389946205015,0.7244911734001878,0.747111066791285,0.4848958687860802,0.8233555991806822,0.8311361779300347,0.7485143088316153,0.8567998333050304,0.8441642645560521,0.8855827500559212,0.778344463415759,0.8679377212874435,-0.03347243941728562,0.6721896964030193,0.829338982893506
XAN,Exantas Capital Corp.,-0.007834372224901071,0.1923591694865986,0.5771914265223906,0.24126870368961387,0.6650319678177573,0.6629540678860877,0.5547522817323964,0.6868993778506336,0.3047281165943732,0.6253435247327683,0.929520548004657,0.8670903863347769,0.5780784053710214,0.6261017223379253,0.2744322442058612,0.09732230917230976,0.6438011857210456,0.7459682204670803,0.748057836629156,0.7541799067968307,1,0.3633153125826725,0.3062459574630293,0.7755579399800935,0.5836440525271859,0.7810630405692653,0.5615545072366139,0.6382504224766511,0.5088046336982968,0.647371964018421,0.5810086017921406,0.35375203416030815,0.663612963102928,0.7117223160298733,0.3742872000795546,0.8730234235680917,0.9056084552437631,0.6869819232815834,0.7277476763951057,0.6854510701646906,0.779450930162787,0.7481484523174913,0.6902948342351798,-0.008306223760397621,0.660885658887162,0.6079226166093252
EXR,Extra Space Storage Inc.,0.0033236232896345047,0.046083933755627554,0.6238776237405433,0.5271526486108542,0.6758793075523933,0.7587763997850818,0.7377770331118555,0.32717581564051734,0.548822151491715,0.7962400985463178,0.4129779352330861,0.4978078329237891,0.5658717228364486,0.6364892089376202,0.6035656116339058,0.58087093108117,0.749503722544775,0.6859539843320434,0.6350967521032044,0.6737778725640968,0.3633153125826725,1,0.2929359763571402,0.6610029397628768,0.7701885820827673,0.7282784400573703,0.6853595214954579,0.7211684399970839,0.48321509331031903,0.7089348829088513,0.7408169936801255,0.5375412825753327,0.5710011130314562,0.6352014138672704,0.37884824641184506,0.5330995379126616,0.49268231541455454,0.5522419045576393,0.6915392185410366,0.7314045043161773,0.7264061785637277,0.6134442033370777,0.7674134157962581,-0.03981638173497494,0.45350455543257856,0.7847975865191643
FPI,Farmland Partners Inc,0.004630528546898534,0.04567943839013738,0.39344936443724143,0.24830376820781608,0.43324434211541574,0.4537038425833395,0.30421010797314973,0.374300574693852,0.3969575615317833,0.3551825525695393,0.32281168611051386,0.2792110650710427,0.4761589633096057,0.320792533098737,0.1519690472087543,0.23816833766583864,0.307596752513274,0.36255213336207603,0.3404610157913962,0.32100389792667616,0.3062459574630293,0.2929359763571402,1,0.4589081615258009,0.40962704958953944,0.32447269588020405,0.39909547212976904,0.2582422056257094,0.4258017780736487,0.33423705716360375,0.3008636296034727,0.49825380304586303,0.30628865972463887,0.4587265896060541,0.04191669173314919,0.2408963110063546,0.3183283879985258,0.33645392003249763,0.35154668935535643,0.3398515276632303,0.38770803687791,0.34462009451689524,0.411346615557725,0.08895458274613005,0.4614834466269775,0.36304511748471713
